id d1 d2 d3 c1 c2 c3 c4
3 -1.0562696524273585 0.017725746008484793 -0.2500166213946069 management married tertiary no
9 0.17303997692141643 -0.5019955378263912 0.18873535030021413 services married primary no
10 -0.20520913980128352 2.642251768852379 0.03478729005641727 services married secondary no
15 -0.11064686062060855 -0.4082862014827627 -0.2885036364555561 management married tertiary no
23 0.26760225610209143 -0.44184876520867217 -0.534820532845631 entrepreneur married secondary no
31 -0.9617073732466834 -0.4159291615391579 -0.7041633991138077 technician married secondary no
36 3.482719748245041 -0.396655610092596 -0.6425841750162888 retired divorced primary yes
38 -0.7725828148853335 0.8348578668204797 1.9283484310551184 management married secondary yes
41 -0.48889597734330853 -0.2889895640807675 -0.6079458614614346 management single tertiary no
45 -0.6780205357046585 -0.18298503112467704 -0.6117945629675295 management single tertiary no
46 1.3077873270895164 -0.424569029428996 -0.7888348322478959 blue-collar married primary no
51 -0.39433369816263353 -0.3969879127037436 5.680832399497667 technician single secondary no
58 -0.48889597734330853 -0.4391903443194912 0.19258405180630903 retired single secondary no
62 0.6458513728247914 1.4835125637806317 -0.1422529792239491 management married tertiary no
64 1.4023496062701912 5.134189049848373 -0.1576477852483288 admin. married secondary no
77 -0.11064686062060855 -0.276362064857158 -0.681071190077238 technician single secondary no
82 -1.2453942107887084 -0.41393534587227215 -0.438602995193258 admin. single secondary no
83 1.0241004895474914 -0.2544300925214151 0.5158749783182824 services married secondary yes
88 -0.2997714189819585 -0.3318566009188103 0.05787949909298679 admin. married secondary no
91 -0.6780205357046585 -0.3215552199732341 0.4158087391598145 blue-collar married primary no
95 -0.016084581439933555 0.04796528362291811 0.10406391716612585 unknown single tertiary no
96 -0.016084581439933555 1.3303210600415796 -0.44245169669935297 admin. married tertiary no
107 -0.7725828148853335 -0.31225074686110077 0.06172820059908172 self-employed married tertiary no
116 -1.0562696524273585 0.12805021290949428 -0.6964659961016177 services married secondary no
118 -0.20520913980128352 -0.45547317226572454 -0.7503478171869467 blue-collar married primary no
120 -0.9617073732466834 0.15529902702359902 1.2471282644763175 admin. divorced secondary no
142 1.4023496062701912 0.15097909307868 -0.684919891583333 services divorced unknown no
144 0.07847769774074144 -0.3654191646447198 0.06172820059908172 admin. married secondary no
147 0.6458513728247914 -0.08994030000334374 -0.36932636808354946 technician married secondary no
159 -0.6780205357046585 0.07255567684784191 0.44659835120857383 technician married secondary no
161 -1.5290810483307333 1.05251607712217 -0.2500166213946069 admin. single secondary no
162 -0.016084581439933555 -0.5578223764991912 -0.881203668394174 admin. single secondary no
163 0.17303997692141643 -0.14776095434302944 -0.7003146976077127 services married secondary no
172 -0.11064686062060855 -0.3192291016952008 0.030938588550322346 admin. single secondary no
182 -0.6780205357046585 1.8463870151538315 -0.9620264000221673 admin. single secondary no
186 -0.6780205357046585 -0.1740128606236913 0.4350522466902891 admin. married tertiary no
190 0.7404136520054664 -0.4727529080454007 -0.6425841750162888 blue-collar married primary no
192 -1.0562696524273585 -0.016833725550867575 -0.09221985964471513 management single tertiary no
196 -1.3399564899693834 1.375846517768803 0.6582769340437945 blue-collar single secondary no
203 -0.20520913980128352 -0.035774974386281855 4.129805692541414 management divorced tertiary no
207 -1.1508319316080335 0.05859896717964192 -0.5733075479065802 technician married secondary no
211 -1.5290810483307333 -0.5890588219470674 -0.6502815780284787 blue-collar single secondary no
228 -0.48889597734330853 -0.4318796868742436 -0.981269907552642 blue-collar married primary no
230 1.0241004895474914 -0.42556593726243885 -0.5848536524248651 unknown married secondary no
237 1.4969118854508663 -0.40429857014899123 -0.18458869579099324 technician married unknown no
238 1.4969118854508663 1.8806141841020363 -0.7503478171869467 housemaid married primary no
240 -0.6780205357046585 -0.4724206054342531 0.8430146063363507 admin. single secondary no
247 -0.8671450940660085 -0.4727529080454007 -0.5425179358578209 unemployed single secondary no
249 0.17303997692141643 -0.4727529080454007 -0.981269907552642 technician married secondary no
258 0.07847769774074144 1.916502866105979 0.4273548436780992 technician divorced tertiary no
261 -0.8671450940660085 -0.4727529080454007 -0.3192932485043155 technician single secondary no
270 -0.11064686062060855 -0.4727529080454007 0.12715612620269537 services married secondary no
274 -0.5834582565239835 -0.4727529080454007 -0.007548426510626865 blue-collar single tertiary no
276 -0.5834582565239835 3.2553500864197358 1.6743341316528537 housemaid married tertiary no
279 0.9295382103668164 -0.46045771143293884 0.2964989924708719 blue-collar divorced primary no
281 -0.8671450940660085 -0.09126951044793422 -0.5502153388700107 blue-collar married secondary no
292 1.1186627687281663 1.1867663320258082 -0.7772887277296111 services married secondary no
297 0.36216453528276643 -0.5760990201123102 2.948254330170273 blue-collar divorced primary yes
298 -0.2997714189819585 -0.2756974596348627 4.695564813937367 entrepreneur married secondary yes
301 2.2534101188962663 0.13868389646621807 0.4581444557268586 retired divorced primary no
306 0.7404136520054664 -0.24446101418698654 1.955289341597783 entrepreneur married secondary yes
308 -0.5834582565239835 0.9514960833332939 0.3580782165683907 management married tertiary no
